Artwork_20,Artwork_21,Artwork_22,Artwork_23,Artwork_24,Artwork_25,Artwork_26,Artwork_27,Artwork_28,Artwork_30
70,76,36,20,25,68,48,14,37,90
23,54,45,56,26,54,58,17,53,65
39,71,42,18,29,50,29,18,95,83
73,59,46,16,20,48,65,17,55,42
12,75,42,33,32,57,68,11,24,84
39,67,45,45,36,40,46,12,49,71
50,64,47,24,36,42,95,9,21,68
58,72,44,15,35,40,62,10,81,56
42,58,42,60,32,60,38,9,31,69
13,78,34,24,32,42,21,20,35,52
65,52,38,34,32,63,95,10,73,56
46,54,34,59,31,58,64,11,60,84
51,72,36,41,30,57,74,17,88,79
62,53,48,38,29,53,90,9,36,54
49,67,48,28,17,49,65,19,22,72
71,78,41,34,16,43,60,16,25,59
65,77,48,29,27,59,79,13,96,58
63,49,46,28,16,51,89,20,91,71
51,75,45,30,14,37,81,13,53,76
41,57,48,35,23,57,48,13,51,51
79,57,47,47,30,35,21,15,53,58
73,55,41,16,14,36,75,12,84,46
23,73,41,19,25,41,39,12,34,66
17,56,34,40,18,47,86,14,47,91
15,59,43,28,26,35,51,18,33,91
37,51,42,36,36,49,89,17,86,45
14,62,36,28,27,42,80,9,80,64
41,74,40,52,30,60,59,20,76,83
57,58,37,17,32,56,22,15,31,74
25,71,44,20,31,51,74,20,95,67
17,66,41,38,18,43,41,19,31,81
40,78,45,23,15,50,39,14,81,57
67,49,41,18,16,35,69,11,28,40
40,56,44,33,19,31,81,20,95,71
72,55,41,22,30,64,86,8,22,79
14,58,35,56,15,31,89,14,71,43
24,52,34,19,32,32,78,11,63,79
40,51,42,14,27,59,56,20,55,70
31,68,47,59,27,62,44,18,39,58
28,60,39,14,30,51,62,14,72,54
24,77,45,17,18,30,50,16,32,90
11,64,39,16,28,52,80,13,61,91
28,79,37,15,34,62,87,14,98,40
18,78,43,23,28,48,89,17,48,71
19,74,45,49,19,35,78,15,95,77
72,69,44,31,30,36,44,11,44,72
80,51,40,16,18,35,33,20,81,82
54,74,39,45,14,50,51,19,68,88
18,62,37,48,17,64,92,9,50,57
49,60,34,60,19,46,41,12,32,69
75,64,48,22,35,35,28,8,30,88
80,55,41,55,14,55,46,13,67,85
58,79,36,13,14,58,36,17,52,51
31,67,45,41,14,55,54,15,62,68
59,70,47,37,30,30,94,19,49,63
73,63,45,58,30,51,28,17,45,73
60,66,35,38,15,48,79,8,87,89
49,48,38,45,27,40,23,17,59,46
77,78,34,14,18,63,39,11,97,56
75,66,44,36,30,37,72,14,43,61
19,66,35,35,24,39,92,14,89,44
79,72,34,36,26,41,73,9,68,70
32,66,43,41,33,43,76,18,58,78
54,49,39,34,33,37,95,19,47,50
36,52,40,48,17,62,49,18,30,65
29,65,45,60,31,62,59,17,27,58
17,68,46,51,17,57,93,20,71,87
71,49,38,23,19,37,89,9,95,83
70,53,38,25,16,44,29,11,38,67
29,76,39,61,24,47,25,8,92,91
37,55,35,57,20,30,23,20,75,83
28,49,37,18,33,38,83,11,91,56
71,63,41,42,22,67,38,17,24,67
62,57,41,57,23,32,56,8,21,63
79,48,41,27,22,66,30,14,45,40
68,57,43,31,18,48,27,10,29,48
13,73,42,41,21,56,95,20,31,57
13,64,34,45,32,39,62,16,27,84
53,75,36,30,23,64,63,15,95,74
31,75,43,18,30,53,52,18,39,90
33,75,37,53,23,45,65,12,89,87
80,65,34,33,34,53,44,19,57,62
15,61,40,37,35,68,31,14,77,90
73,50,37,51,32,65,51,20,92,85
12,60,37,38,28,50,41,15,32,58
27,75,42,21,22,66,24,13,67,47
47,64,47,43,16,66,60,19,31,71
59,61,40,18,17,57,79,19,87,84
37,75,35,53,36,46,48,9,87,46
53,65,46,35,36,68,77,14,80,81
26,55,45,28,22,48,68,15,41,77
20,49,36,13,35,50,46,14,25,91
13,57,38,17,27,53,75,12,44,91
48,67,46,13,28,56,71,12,95,62
29,69,42,20,23,52,50,20,74,47
78,50,46,39,36,60,35,8,37,76
67,78,47,53,31,63,53,17,22,64
80,66,35,38,28,46,44,12,37,87
79,64,37,47,31,55,55,12,92,67
13,53,39,47,16,56,92,16,82,81
15,60,44,19,17,48,87,19,89,64
47,68,35,33,16,42,72,9,61,45
48,72,41,18,20,47,75,15,83,58
18,60,46,32,35,43,94,9,92,43
74,76,34,21,16,45,21,12,89,51
56,56,45,49,14,37,70,11,81,83
49,48,34,31,27,38,56,14,33,83
43,55,39,32,28,31,94,16,63,59
62,77,40,51,21,38,74,10,91,82
63,61,37,56,36,67,67,8,24,63
42,52,44,47,29,48,49,19,80,75
71,77,37,17,25,53,92,10,36,40
80,73,40,22,15,32,61,20,83,55
36,70,44,32,17,37,58,15,48,67
31,61,41,42,16,67,77,9,39,90
35,77,44,27,24,42,31,13,91,77
58,50,46,31,36,46,70,10,73,77
29,51,44,37,33,66,44,15,68,64
54,60,43,60,24,37,42,17,83,41
11,76,41,56,28,37,18,8,30,52
25,71,41,13,15,58,57,12,66,91
63,49,37,23,23,34,29,8,69,50
51,65,42,23,27,31,50,18,53,67
15,60,41,48,18,45,93,17,70,52
62,72,46,17,27,54,64,11,91,87
77,54,46,32,23,36,81,20,80,73
24,66,35,56,19,35,73,15,51,77
42,51,45,51,29,59,34,9,86,53
45,70,41,20,35,39,23,10,89,73
40,69,34,51,23,65,89,17,31,40
38,67,38,38,29,57,81,19,22,49
75,74,40,18,19,47,18,16,91,69
28,64,44,56,35,52,85,13,49,70
50,66,41,14,14,59,26,20,27,57
13,69,47,40,26,50,54,19,96,63
59,53,34,50,34,35,85,9,91,52
39,74,40,46,26,42,59,15,35,72
40,62,46,45,25,50,21,10,76,60
19,68,39,14,34,68,67,10,45,82
36,73,42,18,20,53,48,8,65,78
78,76,42,44,15,45,35,10,62,86
22,74,38,44,36,34,67,12,62,91
41,79,41,24,31,44,21,20,35,69
48,74,40,20,15,31,65,20,73,50
52,79,39,32,26,37,86,8,67,55
21,50,38,28,34,53,38,20,35,75
38,73,46,14,28,65,70,12,49,70
22,49,44,60,35,48,25,9,67,43
28,77,47,56,22,43,47,18,76,81
67,71,35,32,15,37,41,11,80,42
14,58,46,32,23,65,79,11,91,88
48,79,46,39,26,38,90,16,56,91
57,72,34,26,35,57,36,18,34,50
72,55,48,30,17,46,75,16,51,50
71,69,37,28,15,51,95,9,74,48
14,73,48,60,35,47,34,18,39,87
62,71,34,50,34,51,73,12,60,81
69,55,41,40,23,34,33,20,54,64
65,63,46,28,23,60,39,20,32,63
18,65,47,60,36,59,81,12,49,66
52,56,43,57,28,43,76,12,65,59
63,79,45,33,35,37,28,16,86,81
30,75,42,32,19,36,65,9,91,48
75,52,42,60,22,55,45,10,76,43
50,70,47,57,33,47,88,9,71,69
47,48,38,32,21,37,36,19,34,47
52,49,37,35,14,52,92,8,79,53
19,57,44,45,25,44,66,18,55,73
60,78,43,22,33,35,68,12,42,79
59,64,42,41,30,52,76,14,59,48
59,72,38,31,19,32,90,10,78,79
71,55,47,35,17,65,80,16,42,54
74,61,42,54,29,39,76,12,29,91
64,58,48,29,26,43,54,16,88,90
36,70,37,23,23,51,42,17,31,62
43,77,37,60,22,54,67,18,26,54
41,69,47,33,34,45,80,20,22,64
43,52,38,61,30,68,18,12,32,50
27,73,38,39,26,43,89,10,53,61
65,57,37,14,32,67,39,19,82,78
67,72,41,19,30,61,80,13,31,72
50,51,39,34,24,41,35,10,53,71
36,48,47,35,20,50,53,13,50,56
16,71,46,28,23,67,32,9,28,64
48,63,43,51,28,62,76,17,83,57
50,70,45,19,30,30,92,19,47,76
32,64,41,36,34,34,66,15,47,44
51,53,39,46,21,47,82,14,48,49
56,53,40,31,29,65,55,19,33,82
13,58,37,52,36,38,42,17,45,58
15,65,36,26,23,66,23,13,98,81
80,64,47,53,30,67,33,11,58,67
44,72,34,21,17,47,42,11,96,54
75,78,38,30,27,58,42,8,37,79
19,76,45,31,14,63,73,10,40,45
27,63,45,28,25,61,25,19,50,74
45,58,38,17,34,67,43,15,27,40
38,69,45,23,20,60,25,15,63,57
13,58,36,27,21,41,44,11,23,50
77,70,42,37,18,66,69,18,75,64
23,79,42,22,15,55,68,14,22,77
19,79,44,18,30,36,18,14,74,55
24,48,45,31,24,43,44,10,67,65
31,74,44,14,23,43,73,11,31,59
22,78,34,22,18,38,93,13,91,57
68,61,37,33,35,55,38,11,77,78
31,75,48,28,22,51,43,8,30,68
36,60,39,53,28,32,28,11,21,91
25,60,45,60,36,53,83,12,94,45
69,58,45,50,14,36,30,9,95,59
68,76,40,34,21,52,85,16,97,54
26,70,44,25,20,41,50,14,73,89
15,58,44,28,34,65,69,15,95,41
78,52,43,24,16,47,56,13,83,88
56,74,45,34,34,45,47,15,65,79
18,56,36,58,28,62,56,19,41,55
42,73,36,36,31,51,35,17,92,42
30,70,37,40,26,50,69,17,56,47
35,50,39,28,20,60,33,16,75,55
31,52,46,33,32,49,19,14,65,54
77,78,46,59,28,66,27,20,94,66
22,72,48,38,36,60,42,8,98,76
71,76,47,44,17,32,59,15,67,79
48,53,44,32,32,46,59,10,70,81
17,59,34,51,30,42,42,18,91,67
18,72,38,14,34,53,93,16,36,85
76,50,36,30,28,30,81,13,84,50
24,72,41,21,32,34,39,11,42,61
68,49,36,51,14,54,31,12,31,43
79,65,48,47,26,41,74,17,23,89
77,72,35,30,34,53,25,8,97,41
78,60,39,53,15,43,23,17,91,80
17,75,36,49,33,51,41,8,31,59
76,78,39,44,23,38,25,17,63,68
43,72,42,16,18,58,83,14,63,68
76,77,38,58,15,58,45,11,86,67
46,58,38,42,31,32,40,15,72,76
80,79,37,45,33,33,32,15,91,84
33,61,48,33,31,33,83,9,28,53
41,77,41,51,24,51,88,20,48,85
22,67,34,30,26,33,63,17,31,87
57,77,46,42,14,49,72,19,55,82
34,71,38,58,35,31,77,18,54,80
58,60,39,56,28,59,76,20,51,57
77,76,42,15,25,48,66,9,86,90
40,57,45,60,36,61,74,9,55,60
64,76,48,34,36,62,28,15,52,45
73,72,34,54,22,45,56,15,23,85
80,57,37,21,34,43,66,9,89,41
37,51,45,46,14,40,20,13,57,58
22,60,45,60,24,47,25,19,98,83
70,53,44,13,32,30,29,10,39,81
74,59,42,13,21,57,30,19,76,74
15,68,36,60,17,60,65,16,53,85
42,67,40,38,30,62,27,19,38,43
41,53,37,55,17,55,91,16,40,81
42,72,41,53,21,60,69,20,31,54
19,53,36,37,28,43,95,9,26,86
70,79,42,49,28,39,60,11,98,83
36,64,46,57,36,64,88,18,30,56
46,67,39,47,28,62,21,12,74,77
37,63,37,56,22,34,82,17,36,61
70,63,43,57,30,36,80,9,45,77
68,61,42,35,32,65,73,15,27,60
29,51,37,52,18,50,24,14,79,75
66,77,36,36,20,60,58,17,74,79
55,77,37,51,27,30,61,12,41,71
43,69,42,39,28,36,81,11,71,81
76,58,47,38,14,45,44,10,88,58
34,71,38,57,32,36,82,12,21,70
14,79,45,53,19,57,30,20,47,62
32,62,41,28,36,38,49,16,25,83
11,51,41,48,25,61,25,11,93,68
67,62,36,27,28,33,39,11,37,58
65,51,45,46,30,54,18,10,87,76
36,64,46,42,31,36,84,16,55,41
18,54,36,19,32,59,67,14,42,57
35,51,40,13,20,55,74,20,91,52
32,53,35,15,25,56,77,11,55,53
71,51,43,17,29,33,37,18,78,55
63,56,41,28,29,45,20,14,44,56
60,55,48,56,27,51,37,10,22,90
68,66,42,22,28,32,71,13,36,75
50,48,39,50,20,54,39,20,78,59
75,52,37,35,29,51,53,20,88,62
78,59,37,28,15,63,27,13,54,51
23,54,34,18,23,67,80,17,37,65
11,48,36,49,29,39,64,20,59,60
21,55,44,47,34,68,46,15,40,60
53,75,36,17,20,58,65,8,70,52
54,55,46,59,20,38,37,13,69,49
42,74,43,59,31,45,53,19,40,42
43,55,46,25,22,64,75,19,80,67
49,65,45,52,29,34,48,9,55,41
41,48,37,38,15,58,95,11,78,82
51,71,48,60,31,62,55,12,38,66
50,54,37,49,19,39,77,15,35,44
31,60,44,49,28,59,18,8,94,59
55,69,46,35,22,56,69,17,73,77
14,66,42,39,31,65,32,19,31,59
19,63,42,41,36,68,87,17,37,84
75,75,37,35,27,65,42,10,54,42
56,62,44,32,14,50,70,18,98,88
53,55,48,50,15,45,77,14,76,76
44,50,46,28,14,68,24,14,62,61
36,59,44,36,18,38,46,14,67,45
17,59,38,39,25,53,42,20,79,70
49,69,43,54,23,33,73,16,65,71
66,63,42,13,21,50,74,18,80,81
75,54,41,48,34,33,87,14,44,75
34,77,36,22,23,65,68,19,47,41
33,79,34,53,27,49,47,18,94,49
51,65,37,15,25,52,42,16,47,67
18,75,40,31,21,58,85,17,76,90
58,74,41,55,31,32,40,12,87,51
18,60,40,49,14,39,26,11,76,49
69,68,42,55,31,47,18,11,39,62
27,64,46,34,20,43,59,13,72,52
17,69,40,53,29,57,38,9,42,61
67,50,35,15,27,60,58,8,96,55
68,68,36,28,21,44,67,20,43,70
73,75,47,44,32,33,87,20,74,57
34,53,42,30,27,65,22,12,71,69
19,66,48,56,14,44,73,19,23,64
31,66,47,26,15,34,33,15,74,84
40,76,35,17,25,68,30,18,68,59
59,53,37,42,28,41,90,11,93,88
54,75,37,46,33,50,44,16,66,52
59,63,41,61,29,67,32,13,71,67
54,63,34,45,23,37,65,14,27,54
22,60,39,49,32,66,48,18,96,68
63,73,46,45,20,38,83,11,74,49
74,74,46,57,18,30,75,13,61,60
67,62,41,46,14,31,69,14,79,57
26,62,45,41,36,34,54,16,32,81
70,74,38,30,32,39,62,17,91,58
24,60,36,48,29,41,78,17,91,86
55,54,48,40,29,32,78,15,44,81
12,55,34,31,20,30,42,14,44,84
50,52,38,54,17,59,44,19,52,52
23,53,36,42,20,34,31,15,53,67
52,63,38,30,30,64,79,11,39,60
67,62,38,44,36,39,50,15,81,63
45,68,42,19,27,41,55,18,76,48
22,61,34,23,27,42,70,9,87,67
54,68,38,30,18,51,23,12,79,46
59,79,35,47,29,62,36,9,35,56
13,48,43,58,32,46,30,16,63,72
36,79,46,56,21,35,45,20,65,67
19,53,48,49,18,39,29,8,94,69
44,50,42,53,31,62,35,11,83,54
50,75,36,43,14,38,88,8,84,83
79,69,35,58,21,36,32,11,58,73
52,59,43,53,31,46,37,14,46,68
30,52,41,37,15,43,26,9,84,48
52,77,35,59,31,67,31,17,93,48
13,68,41,16,35,42,20,17,40,46
40,48,43,22,24,61,28,9,79,61
30,66,46,53,32,46,51,8,54,82
52,55,42,28,30,57,73,9,65,75
36,58,45,47,30,51,26,17,69,59
79,77,44,38,34,37,94,12,74,84
11,48,42,39,15,31,56,16,52,50
60,68,43,39,28,42,68,9,42,80
11,53,47,25,28,58,50,16,66,66
29,58,38,33,28,49,31,8,22,62
49,76,35,13,19,48,35,13,22,59
69,53,46,17,20,43,92,16,30,82
64,48,45,46,30,30,46,12,80,50
49,73,48,61,20,43,66,19,54,77
74,49,35,17,16,45,33,16,62,83
71,64,45,18,35,51,86,14,54,63
77,48,39,30,28,62,62,8,95,83
15,57,37,38,36,58,63,9,26,90
17,62,42,19,27,43,66,11,62,48
25,64,48,33,16,30,38,16,49,75
79,75,38,39,32,52,81,10,83,47
35,66,47,35,21,37,53,15,88,69
14,66,38,13,32,31,23,19,96,59
24,79,42,22,22,52,19,14,82,53
34,49,48,39,24,57,21,17,56,70
67,51,37,58,17,41,63,15,45,41
49,79,36,52,27,56,32,18,95,52
72,63,47,35,22,55,84,14,50,79
27,71,39,24,23,51,41,9,29,47
27,48,46,56,20,42,26,20,76,65
51,73,40,37,32,41,73,13,54,41
36,59,43,38,15,48,85,15,40,73
55,69,48,52,14,53,32,15,50,56
61,61,36,56,31,30,18,8,98,72
33,62,47,59,22,35,78,11,91,75
49,55,46,45,24,36,71,8,97,59
63,70,47,46,16,44,38,9,26,54
19,73,46,22,21,43,48,16,81,48
75,57,43,43,29,62,42,16,72,73
28,66,37,55,14,52,41,8,46,56
79,69,39,24,14,54,88,20,47,89
58,79,46,57,14,49,89,17,83,91
65,57,42,54,27,31,18,19,77,70
24,74,45,49,34,31,39,16,90,80
58,67,46,48,31,46,92,16,37,72
27,48,40,20,35,50,25,19,84,41
14,59,39,56,28,36,89,15,96,45
66,75,48,23,28,53,42,17,35,91
12,54,35,47,23,32,81,14,23,55
32,62,40,20,24,37,29,9,53,67
49,56,48,51,15,46,66,19,27,52
54,64,44,55,20,39,49,15,24,58
16,64,45,51,29,42,70,19,34,58
41,75,44,22,20,55,75,14,85,72
52,56,45,31,27,55,27,15,24,57
13,60,40,43,20,38,71,11,25,74
54,71,48,61,31,50,71,15,41,56
39,64,45,36,27,50,82,8,42,63
53,61,40,51,25,45,45,13,56,81
57,76,46,51,20,51,36,10,54,72
62,60,47,19,26,64,77,20,76,69
61,68,41,38,14,38,56,20,41,63
