Artwork_20,Artwork_21,Artwork_22,Artwork_23,Artwork_24,Artwork_25,Artwork_26,Artwork_27,Artwork_28,Artwork_30
70,77,40,53,18,52,28,40,43,24
53,27,14,43,16,60,22,31,4,35
53,77,19,49,34,75,47,49,43,40
54,67,32,42,26,49,53,47,48,59
59,71,28,48,13,55,31,12,30,37
55,77,8,51,20,79,40,33,11,48
61,53,30,49,19,76,30,46,6,41
60,64,25,39,30,64,38,59,48,56
60,68,38,54,32,72,21,36,2,29
59,26,18,49,35,70,28,27,12,33
59,59,12,53,16,43,50,58,9,56
61,65,13,57,42,53,15,49,28,24
66,29,41,50,41,78,29,25,15,34
48,66,25,52,9,45,44,18,28,33
63,68,29,47,43,71,16,10,41,35
50,55,19,56,28,46,53,9,19,29
67,76,27,51,40,71,55,27,22,29
74,34,32,41,22,77,17,28,21,63
71,60,25,54,38,51,55,27,1,49
48,57,35,47,10,55,17,41,3,36
72,70,9,41,34,83,29,28,48,43
52,40,22,40,27,46,14,55,14,64
56,68,33,40,46,56,21,22,2,18
63,55,39,46,46,75,52,48,45,49
54,59,33,46,33,48,48,59,42,52
54,53,23,47,18,79,31,47,46,25
56,59,35,50,33,76,42,49,23,69
63,46,16,39,33,84,19,52,13,11
51,24,28,45,18,79,54,36,43,67
51,70,26,43,38,46,33,17,35,48
62,67,11,52,16,45,46,33,47,66
57,46,23,42,23,82,34,26,52,53
67,41,39,43,25,64,29,35,12,56
71,51,39,46,32,55,29,48,11,17
71,75,36,47,30,81,37,30,29,28
58,37,37,53,17,65,16,27,7,41
71,41,18,48,44,54,15,62,10,45
55,42,12,45,37,41,24,55,8,24
63,48,29,48,21,76,25,9,13,39
51,72,37,40,30,74,36,15,53,38
50,38,26,40,12,42,41,37,47,62
64,31,26,43,24,83,24,42,49,61
66,42,32,49,29,69,49,11,34,22
61,72,31,42,42,64,48,48,30,54
49,59,16,46,45,58,19,24,33,19
65,66,20,56,31,74,44,28,35,15
75,56,31,52,29,80,17,37,21,38
54,49,42,41,44,70,41,46,57,16
62,63,12,42,37,44,39,12,21,62
69,57,12,43,10,62,52,9,13,25
74,36,9,53,13,50,16,42,4,38
65,25,20,43,45,77,41,32,23,64
56,74,41,53,34,69,41,34,5,49
68,55,32,52,9,74,34,18,8,16
59,75,25,54,22,75,44,59,46,30
74,57,13,39,20,70,38,10,30,36
60,36,35,57,35,76,19,62,31,69
72,48,17,57,12,84,51,58,18,13
58,24,17,39,46,43,18,50,16,21
48,32,13,49,16,54,21,30,11,29
52,39,8,53,31,58,30,44,2,15
50,42,32,46,38,52,19,51,28,49
69,74,28,48,13,75,27,51,29,22
74,72,22,54,21,45,45,17,43,56
75,65,22,49,35,51,49,30,53,15
53,25,33,49,34,53,19,54,56,35
52,72,40,48,25,73,25,18,24,47
70,31,37,55,13,83,28,25,25,31
74,48,32,47,39,59,47,47,24,23
60,30,25,53,36,46,30,32,49,15
63,52,38,45,31,42,39,63,9,14
57,75,19,49,45,49,26,51,35,12
58,21,11,45,37,50,53,55,18,70
65,68,40,56,20,44,40,55,16,28
59,45,24,53,20,44,33,32,55,39
66,71,21,41,38,61,54,51,12,66
72,33,35,54,24,43,16,19,27,20
57,66,17,39,26,62,28,55,42,69
62,57,38,52,41,42,20,40,26,34
61,33,12,57,34,67,17,9,32,21
72,57,33,42,28,64,15,59,46,57
53,36,23,55,37,48,27,16,25,14
51,31,22,52,11,62,55,41,34,63
71,26,13,42,21,63,34,23,37,57
67,60,19,56,28,52,18,55,20,33
65,31,11,52,18,78,18,51,13,64
53,42,26,54,30,42,34,10,20,63
72,37,21,41,11,55,33,41,30,51
64,78,23,44,21,75,52,32,40,56
75,29,11,45,29,45,50,58,7,66
70,43,22,50,24,58,22,10,6,19
58,67,42,57,17,53,49,31,55,59
75,42,38,44,42,58,38,27,29,17
67,35,25,54,12,50,51,53,7,46
57,31,33,54,33,68,52,30,13,34
64,54,34,41,32,67,38,19,44,39
57,33,17,43,42,54,23,12,19,64
54,71,17,45,27,50,22,29,47,19
52,21,19,56,11,69,53,45,49,28
56,77,9,46,12,67,50,61,10,63
54,39,9,40,21,84,40,59,18,31
63,20,8,47,10,63,44,16,12,34
71,50,39,53,11,51,23,47,23,43
73,55,25,55,46,47,47,11,22,29
72,67,23,51,27,76,24,23,5,55
60,27,32,53,34,42,41,32,6,68
49,51,25,41,46,45,32,41,33,17
58,72,28,47,36,83,29,11,14,31
58,54,42,44,12,41,41,36,14,14
68,37,29,47,21,80,41,32,4,24
66,77,10,46,44,44,43,59,56,58
72,73,37,40,29,46,41,34,44,55
62,54,32,46,31,77,21,56,26,42
51,32,32,53,30,78,22,10,5,31
73,60,8,48,33,78,24,33,50,21
75,45,28,56,37,43,27,28,2,24
75,71,25,40,37,63,28,9,23,27
75,28,22,53,24,77,16,44,53,19
66,69,27,48,40,51,54,15,54,36
71,72,28,52,11,81,36,42,20,47
71,39,12,52,15,42,47,11,54,45
66,57,27,40,34,43,36,20,40,37
53,67,25,48,35,76,33,54,50,23
59,22,22,45,16,65,17,56,25,57
68,46,18,52,34,69,50,11,57,32
59,66,18,41,44,74,16,60,12,53
57,75,34,44,18,67,46,45,28,49
64,71,13,50,16,81,54,58,56,28
75,56,27,41,19,45,45,34,19,11
75,49,13,55,10,67,18,60,29,46
61,29,40,44,18,41,30,56,20,33
66,37,39,42,16,83,17,52,14,27
71,59,30,41,13,80,49,17,11,64
71,52,30,50,25,73,41,11,24,54
49,64,20,43,8,41,53,53,31,60
60,45,21,54,33,77,36,15,13,63
58,49,15,49,33,74,36,51,48,29
75,51,34,53,22,57,46,34,56,38
52,55,38,44,9,68,38,37,14,27
64,39,40,51,35,55,16,43,14,25
70,71,30,50,28,45,55,42,12,58
58,47,22,50,45,61,20,46,39,17
74,58,24,43,32,83,44,29,23,19
68,61,17,39,40,59,22,55,10,46
60,67,8,47,17,60,25,37,51,70
53,41,19,54,12,51,54,21,48,50
64,32,11,44,30,53,28,24,47,54
63,62,14,50,14,65,17,56,51,52
52,66,40,51,46,47,19,46,37,66
58,64,11,48,46,49,18,61,18,48
62,32,36,41,24,57,28,23,57,32
55,72,15,50,44,62,22,61,46,63
49,28,29,48,17,78,25,27,39,25
59,48,38,49,39,81,41,19,57,57
75,30,41,40,9,61,44,49,38,13
55,65,14,40,31,46,52,40,12,16
71,45,41,56,26,82,29,57,43,16
69,24,26,42,44,48,35,10,19,34
64,48,32,51,13,43,24,59,11,40
72,67,35,43,10,50,36,15,40,23
73,50,41,44,29,78,47,47,34,61
68,47,18,53,22,48,31,15,39,25
54,53,40,46,23,56,29,28,7,63
55,71,18,42,34,44,33,33,33,54
55,52,18,52,10,81,32,54,20,32
62,69,22,46,11,42,52,40,11,70
66,45,33,46,34,43,16,51,18,60
73,42,35,57,45,67,19,17,11,23
53,73,15,49,17,43,39,43,29,16
74,33,10,51,18,75,46,34,53,59
62,74,20,53,37,41,50,22,53,30
71,27,19,40,13,50,25,11,17,39
48,67,30,55,18,74,48,40,46,43
70,68,36,42,28,44,22,49,42,35
65,42,18,41,22,65,16,49,1,51
54,24,27,53,37,46,21,13,52,21
57,31,39,42,8,58,51,30,13,40
60,38,15,53,9,49,40,47,51,33
51,37,18,45,19,66,31,43,18,70
66,35,15,39,8,44,14,9,54,69
64,31,38,57,29,69,17,15,43,21
53,25,39,39,43,60,52,41,1,69
49,43,10,45,32,73,26,63,14,69
65,37,8,52,34,80,33,14,19,46
73,49,41,43,22,48,17,20,40,12
52,23,26,46,22,59,42,22,34,26
56,60,15,47,14,56,23,21,54,28
74,50,19,46,42,58,52,41,25,45
51,72,36,40,33,44,26,61,56,56
58,59,11,45,14,52,38,57,8,51
54,31,14,52,28,52,41,43,9,46
63,64,39,47,20,66,30,28,13,67
62,37,42,47,40,66,27,14,17,30
58,63,17,45,16,41,26,25,25,48
64,50,26,56,33,59,28,52,43,27
48,70,25,39,46,70,24,18,56,34
48,61,29,46,12,62,42,30,29,70
75,33,12,42,12,83,28,54,18,13
58,42,20,48,25,73,35,62,53,70
56,21,16,48,10,64,55,60,42,34
68,76,9,51,20,84,43,16,11,16
55,42,11,51,40,54,25,35,14,29
68,44,16,39,25,56,35,22,27,54
65,64,21,53,12,82,32,52,46,49
66,37,35,54,32,55,14,55,42,13
55,77,39,44,23,77,39,17,50,25
49,63,18,48,41,62,33,27,40,60
63,38,39,50,20,50,32,31,28,32
66,30,40,42,34,60,18,36,6,64
48,39,12,48,19,62,54,24,17,21
61,56,36,52,44,58,55,54,43,67
72,58,14,57,21,72,47,33,4,40
65,25,39,52,27,79,18,14,8,12
73,45,24,40,40,50,39,15,37,12
52,25,8,53,9,73,42,10,1,26
73,55,28,43,41,61,25,61,8,44
75,61,31,46,13,51,33,50,38,70
51,27,40,39,40,70,46,24,20,30
71,22,40,47,19,54,54,39,39,15
56,51,39,41,18,48,48,55,49,44
69,49,26,40,19,73,21,56,55,40
68,66,33,53,28,49,29,35,48,24
71,39,11,46,37,66,42,13,44,47
51,63,30,47,38,44,28,16,50,24
73,39,17,52,42,83,55,10,31,58
51,76,11,43,26,73,45,53,52,46
72,62,40,44,13,70,28,63,8,14
58,74,28,39,16,66,54,13,5,50
48,47,39,49,42,81,42,29,37,25
52,54,15,43,23,41,17,10,40,54
72,43,10,41,11,84,37,56,30,52
53,21,33,50,13,61,39,59,43,15
53,77,42,46,40,46,42,32,9,15
57,37,21,52,32,48,16,14,32,54
55,76,33,39,11,81,24,15,12,47
52,60,12,46,31,79,55,28,25,16
66,23,32,43,40,66,21,55,31,50
68,46,21,44,24,83,41,45,14,66
63,58,27,43,21,58,14,35,54,30
68,41,16,56,29,41,22,35,54,67
54,74,11,41,31,44,54,40,30,70
74,34,19,49,8,54,37,58,44,65
55,65,23,51,45,60,19,33,13,37
59,45,41,39,34,43,32,13,44,17
48,31,39,57,30,73,23,44,3,40
60,38,39,54,32,49,41,42,17,54
48,21,28,40,10,61,36,23,26,38
68,50,18,43,42,57,40,53,50,17
62,29,17,41,41,71,43,20,39,52
64,51,27,42,18,69,42,36,4,60
53,61,37,57,44,64,47,30,1,49
50,33,26,54,28,77,30,35,56,33
58,64,32,53,41,68,38,62,41,35
56,42,18,56,28,43,33,45,34,53
73,71,30,51,27,82,39,33,24,21
57,33,40,53,8,50,37,50,2,29
65,22,32,51,21,59,35,17,41,61
68,59,12,46,32,74,55,43,38,23
58,60,34,52,35,82,28,37,9,41
72,49,29,45,38,41,44,39,35,64
73,63,38,48,43,75,29,38,1,21
75,42,28,40,13,65,35,42,11,69
48,44,16,39,31,60,19,48,56,40
56,29,29,46,26,41,27,58,41,30
48,45,11,43,36,42,28,31,53,42
63,75,42,41,33,53,42,29,57,13
56,51,34,45,13,63,26,62,11,12
70,67,37,52,41,66,51,43,36,20
55,39,9,42,26,47,55,53,54,60
49,68,42,51,35,60,40,53,27,48
59,63,8,49,20,52,51,40,33,19
58,55,26,42,16,65,22,37,31,54
61,75,36,42,41,79,23,21,31,51
68,74,15,42,30,73,49,45,31,23
74,69,32,56,33,44,51,33,38,40
51,70,10,53,26,81,32,11,23,11
68,41,34,40,45,61,24,28,50,52
67,68,40,43,26,69,19,13,29,47
58,57,37,57,30,62,55,16,32,57
65,69,14,46,8,64,46,14,14,65
57,38,12,50,34,73,16,44,35,28
55,43,23,54,38,66,34,48,42,39
75,22,42,53,12,69,54,17,26,56
51,57,36,54,35,43,22,35,5,33
59,62,36,51,36,76,46,53,34,55
62,45,22,54,10,75,17,62,14,30
75,27,26,55,33,70,42,43,7,24
51,41,12,57,29,41,16,14,38,17
64,76,23,47,24,59,32,48,43,23
73,75,41,49,42,55,54,13,27,44
56,51,10,48,23,42,36,49,27,66
58,65,39,55,43,54,27,54,7,35
72,51,20,49,45,84,24,29,17,51
57,76,36,44,12,52,18,19,21,51
58,35,12,42,9,73,25,55,27,12
55,24,36,47,12,48,14,21,38,65
55,46,39,48,45,56,30,36,34,59
58,43,37,39,35,64,46,18,9,55
66,52,39,39,44,65,51,40,10,40
68,35,18,57,9,77,52,45,39,37
75,43,14,44,9,70,53,22,36,47
66,32,36,53,19,50,39,29,21,43
60,70,21,53,35,44,15,32,39,18
49,76,28,57,10,57,22,32,33,27
51,38,23,47,27,69,22,18,3,56
50,25,28,45,41,84,45,59,41,29
73,43,23,56,11,45,39,11,10,51
54,61,30,57,35,63,30,44,7,33
73,60,23,45,38,52,35,30,18,67
57,42,22,51,40,66,50,46,8,70
72,59,25,56,17,44,44,22,15,27
60,71,13,47,29,54,29,38,53,33
49,67,27,54,9,41,24,41,54,54
70,64,19,56,16,64,18,53,40,67
63,70,19,44,13,78,16,58,42,65
75,55,39,53,9,82,45,35,45,33
62,78,29,44,44,61,19,51,20,42
49,53,40,51,43,66,34,46,43,58
53,72,35,50,9,83,41,31,16,56
59,32,30,54,17,46,17,45,9,57
57,41,41,41,12,78,24,53,49,56
64,30,21,52,42,53,32,35,18,57
63,68,30,50,39,79,27,36,14,66
70,45,30,39,16,70,54,37,55,62
60,59,32,46,8,43,47,42,34,31
52,24,8,40,29,43,41,32,1,35
67,50,27,55,32,56,46,59,14,17
73,28,20,47,13,70,14,26,18,56
68,65,41,40,33,62,50,50,8,38
73,58,26,40,28,42,14,40,15,19
58,78,22,45,31,45,42,49,7,29
56,64,37,56,27,56,54,14,47,15
49,27,19,41,38,65,50,17,45,18
49,38,28,56,39,51,22,63,24,64
48,71,21,56,16,41,22,48,34,35
75,71,41,44,15,64,48,56,33,52
68,53,16,45,18,47,33,25,47,32
55,73,22,52,20,57,32,19,18,24
70,35,11,56,42,50,23,49,36,27
75,48,39,57,24,72,27,32,50,33
65,20,37,49,37,64,44,24,19,27
50,78,37,49,41,54,18,52,16,59
49,67,31,54,27,58,53,41,25,41
63,23,30,47,43,51,16,11,29,32
73,24,15,49,30,75,28,32,47,50
58,62,9,47,10,58,45,37,33,70
66,29,40,54,8,62,50,56,52,19
52,47,9,50,41,78,30,43,54,66
73,74,26,47,24,70,53,60,55,69
60,50,32,46,10,55,48,59,6,18
51,60,22,47,17,72,55,57,27,45
61,60,33,50,41,82,47,23,22,16
70,74,12,46,13,65,41,11,7,28
48,49,33,55,45,63,37,61,24,18
57,78,18,54,31,45,49,19,49,62
69,49,23,44,14,54,15,40,25,45
72,52,26,48,38,81,23,33,5,20
54,69,35,55,35,82,37,47,48,14
69,40,23,41,37,61,33,25,52,22
50,64,14,39,24,84,50,10,5,36
71,55,20,52,22,61,23,38,42,59
75,62,41,49,46,43,35,34,5,66
63,38,38,40,29,41,21,51,23,53
51,28,17,40,40,58,44,53,15,51
48,39,36,46,22,60,28,42,6,17
56,71,38,48,10,46,14,48,25,23
71,44,27,41,14,52,54,27,57,29
59,64,35,55,24,70,24,12,1,47
60,63,17,55,26,69,23,32,17,70
54,42,8,53,34,67,49,42,29,20
64,74,40,56,39,72,47,24,47,59
56,33,12,43,39,62,35,20,4,68
67,20,25,50,35,67,40,51,42,17
64,39,17,51,9,64,46,40,36,15
60,76,31,53,45,46,50,11,48,17
70,78,33,51,18,64,43,56,5,47
64,72,9,47,30,43,37,13,28,43
64,35,38,56,40,84,45,55,38,67
57,70,12,49,29,66,21,22,23,65
66,36,18,54,30,61,35,62,56,12
66,32,11,46,32,56,18,15,57,44
64,21,37,54,24,81,52,61,41,51
70,45,26,42,26,68,44,50,27,54
71,61,37,43,13,68,19,24,25,23
60,78,32,44,46,44,43,36,37,58
63,56,15,40,9,60,40,40,36,17
71,48,38,51,13,47,28,51,25,24
59,74,21,52,37,82,34,29,12,42
56,75,21,56,13,69,38,18,53,47
72,46,16,40,35,60,33,45,23,35
51,72,40,56,45,43,45,45,44,56
71,57,19,45,42,74,40,32,30,39
66,77,28,48,8,47,34,61,35,69
75,43,35,39,42,79,46,37,16,24
55,56,9,51,37,80,39,42,16,70
63,53,9,43,17,43,22,59,57,62
49,75,15,55,16,57,17,50,41,64
70,59,21,39,28,68,55,55,11,26
69,71,21,57,23,73,45,57,18,58
60,46,17,47,9,80,47,22,33,19
62,53,13,51,10,83,50,42,17,19
74,43,25,57,28,46,20,29,47,63
73,43,26,55,25,50,26,61,12,58
75,44,36,39,10,71,33,45,53,39
57,63,18,41,34,76,34,46,39,26
57,22,41,52,11,59,42,26,8,62
49,65,28,48,13,71,21,11,56,66
69,58,25,44,13,56,30,30,53,28
60,68,21,52,23,83,54,24,17,38
58,76,14,55,39,51,33,32,47,63
68,40,39,50,45,81,27,44,43,48
66,49,23,53,11,53,22,18,53,36
52,72,23,55,14,52,26,31,34,45
48,32,16,53,32,63,27,54,31,13
58,69,13,42,45,64,26,19,23,68
63,47,15,45,27,81,22,28,32,24
50,72,40,47,16,48,52,24,42,29
71,25,9,50,41,71,54,38,22,40
52,44,9,57,33,45,19,29,52,36
68,49,41,44,25,60,31,21,14,26
49,32,28,54,26,62,21,19,2,13
72,30,30,41,9,50,26,25,26,52
70,50,32,45,26,54,35,51,7,50
63,44,15,55,29,71,46,15,14,36
54,58,39,57,15,82,52,40,13,11
75,41,20,56,46,69,53,59,40,43
48,43,39,41,41,46,35,34,45,59
49,51,26,51,22,46,35,58,26,55
63,54,21,41,33,68,34,43,50,42
62,57,20,48,40,56,15,14,21,42
60,42,24,50,13,72,44,12,32,58
74,21,31,44,27,74,42,57,27,55
56,64,22,39,28,62,46,49,36,16
68,52,32,48,27,65,52,41,55,18
55,30,24,42,31,57,46,38,18,16
67,66,42,55,36,67,37,32,35,59
62,64,30,56,13,76,35,63,8,57
61,68,38,57,45,80,52,31,57,41
48,29,33,48,12,84,16,50,9,46
51,22,40,41,44,60,15,55,33,30
61,49,8,47,8,61,25,9,45,47
48,24,39,39,36,62,38,14,3,44
55,21,36,49,26,66,53,38,18,23
49,54,35,52,17,58,36,60,40,55
63,61,17,47,37,58,43,49,44,43
53,38,16,48,25,72,43,41,14,14
57,77,33,50,23,65,39,59,55,14
74,28,23,41,30,63,47,55,6,48
48,35,39,50,10,54,29,10,13,28
71,31,32,57,10,51,36,45,8,16
74,78,12,53,44,64,40,29,15,43
72,71,31,42,34,61,29,57,40,56
